id,user,fullname,url,timestamp,replies,likes,retweets,text
1714627565778,olvelez007,Oliver L. Velez  13%'er Bitcoiner,,2024-05-01T22:38:58.000Z,70,802,79,"I taught my mother to just look at the 200 week moving average to keep track of her #btc    position. I took the daily price off so she can't even see it. She checks on her holdings every few weeks and says, ""Son, it's still going up. Amazing!"" I respond, ""Yes, it is mom.""…Show more"
1714627566855,naiivememe,naiive,,2024-05-01T20:35:57.000Z,94,2955,541,#BTC Halving
1714627572932,DrProfitCrypto,Doctor Profit ,,2024-05-01T20:10:45.000Z,219,2359,179,Taking #BTC profits in this region is absolutely no option for me and never came in my mind to sell even 1% of my portfolio that was bought at 16-18k!My targets are clear and I will hold my bags till reaching targets above 100k and more. Soon you will understand..
1714627574004,rektcapital,Rekt Capital,,2024-05-01T19:24:30.000Z,91,935,164,#BTC has made new lows during this corrective periodThis is now a -23.5% retrace$BTC #Crypto #Bitcoin
1714627580067,CryptoWizardd,WIZZ ( beware scammers ),,2024-05-01T19:03:56.000Z,210,2659,191,Remember the doomcallers.We finish them soon. Mark my words #btc
1714627586147,intocryptoverse,Benjamin Cowen,,2024-05-01T18:46:02.000Z,81,1039,45,Powell: “#BTC dominance will top when I say it tops”
1714627587225,KevinSvenson_,Kevin Svenson,,2024-05-01T18:19:48.000Z,71,998,182,#BITCOIN | CRITICAL ZONE PARABOLIC TREND   UPDATE #BTC $BTC
1714627588286,DefendDark,Dark Defender,,2024-05-01T17:58:23.000Z,25,484,94,"Hi all. We expected #XRP/#BTC to be broken in April.We have tested it in the last 2 weeks, and, Yes, at last, XRP is waking up!You can find Weekly, Monthly and 3 Monthly time frame updates of the pair below.Enjoy!"
1714627600378,KevinSvenson_,Kevin Svenson,,2024-05-01T18:19:48.000Z,71,998,182,#BITCOIN | CRITICAL ZONE PARABOLIC TREND   UPDATE #BTC $BTC
1714627601454,DefendDark,Dark Defender,,2024-05-01T17:58:23.000Z,25,484,94,"Hi all. We expected #XRP/#BTC to be broken in April.We have tested it in the last 2 weeks, and, Yes, at last, XRP is waking up!You can find Weekly, Monthly and 3 Monthly time frame updates of the pair below.Enjoy!"
1714627602528,MMCrypto,MMCrypto,,2024-05-01T17:47:57.000Z,191,1161,120,#BTC & #ETH TRADE UPDATE: Down to $6 million profit!
1714627603593,BitcoinPierre,Pierre Rochard,,2024-05-01T17:40:51.000Z,78,1376,159,"Just sent #BTC back and forth between @Coinbase and @krakenfx over Lightning It works very well! A dream come true. Congratulations to all the teams that made it happen: protocol devs, database engineers, frontend designers, cybersecurity, compliance, support, and marketing…Show more"
1714627604665,rektcapital,Rekt Capital,,2024-05-01T17:10:43.000Z,67,687,123,$ALTSAltcoins are following the plan perfectly...Altcoins bottomed in early February Altcoins sold off around the #BTC Halving Altcoins to bottom early Summer $BTC #BitcoinHalving #BitcoinShow more
1714627605739,rektcapital,Rekt Capital,,2024-05-01T17:06:32.000Z,93,951,212,"#BTCThe more Bitcoin consolidates anywhere between current price levels & $70,000 after the Halving...The more this cycle will decelerate and resynchronise with its regular historically-recurring Halving Cycle with a Bull Market peak in mid-September/October 2025$BTC…Show more"
1714627606804,BitcoinMagazine,Bitcoin Magazine,,2024-05-01T16:58:09.000Z,329,3957,671,NEW: Cathie Wood says #Bitcoin could now reach $3.8 million by 2030 if institutional investors allocate more than 5% of their portfolios to #BTC 
1714627607860,KevinSvenson_,Kevin Svenson,,2024-05-01T16:54:05.000Z,27,597,50,Replying to @PeterSchiff
1714627613935,CryptoWizardd,WIZZ ( beware scammers ),,2024-05-01T16:03:43.000Z,223,2704,164,I been here 3 cycles. I know why most reply boys are still broke Lvrg trading. Blaming others and doing 0 research last but not least. Lack of patience.They want x100 overnight #btc
1714627615000,intocryptoverse,Benjamin Cowen,,2024-05-01T15:48:16.000Z,59,505,59,"At this point in the last 2 cycles (measured peak-to-peak), #BTC was still 50% down from the all time highs.Really goes to show just how heated the market got before the halving.Still looks 2019-esque to me. Market got heated then too, then cooled off for 6-9 months"
1714627616063,airdropinspect,Airdrop Inspector,,2024-05-01T15:45:49.000Z,203,915,972,"New airdrop: ChainFi (ROGUE)Total Reward: 10 Million ROGUERate: Winners: 4,500 Random & Top 200Distribution: within 1st JuneBot Airdrop Link: https://t.me/ChainFi_bot#Airdrop #Airdrops #Airdropinspector #BASE #ETH #ChainFi #ROGUE #TelegramAirdrop #AirdropBot…Show more"
1714627617129,intocryptoverse,Benjamin Cowen,,2024-05-01T15:10:02.000Z,92,708,88,"There is still a real risk of #ALT / #BTC pairs capitulating to the range lows in the coming months.I saw it happen last cycle just before rate cuts arrived, and wish I had thought about that outcome, which is why I keep reminding you. Nothing with investing is a sure thing"
1714627634222,CryptoWizardd,WIZZ ( beware scammers ),,2024-05-01T16:03:43.000Z,223,2704,164,I been here 3 cycles. I know why most reply boys are still broke Lvrg trading. Blaming others and doing 0 research last but not least. Lack of patience.They want x100 overnight #btc
1714627635291,intocryptoverse,Benjamin Cowen,,2024-05-01T15:48:16.000Z,59,505,59,"At this point in the last 2 cycles (measured peak-to-peak), #BTC was still 50% down from the all time highs.Really goes to show just how heated the market got before the halving.Still looks 2019-esque to me. Market got heated then too, then cooled off for 6-9 months"
1714627636366,airdropinspect,Airdrop Inspector,,2024-05-01T15:45:49.000Z,203,915,972,"New airdrop: ChainFi (ROGUE)Total Reward: 10 Million ROGUERate: Winners: 4,500 Random & Top 200Distribution: within 1st JuneBot Airdrop Link: https://t.me/ChainFi_bot#Airdrop #Airdrops #Airdropinspector #BASE #ETH #ChainFi #ROGUE #TelegramAirdrop #AirdropBot…Show more"
1714627637433,intocryptoverse,Benjamin Cowen,,2024-05-01T15:10:02.000Z,92,708,88,"There is still a real risk of #ALT / #BTC pairs capitulating to the range lows in the coming months.I saw it happen last cycle just before rate cuts arrived, and wish I had thought about that outcome, which is why I keep reminding you. Nothing with investing is a sure thing"
